,Business_Name,Boroughs,Cuisines,Inspection_Date,Action,Violation_Code,Violation_Description,Critical_Flag,Score,Grade,Grade_Date,Record_Date,Inspection_Type
430,The water club,Manhattan,Seafood,05/01/2019,Violations were cited in the following area(s).,08a,Facility not vermin proof. harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not critical,12.0,A,05/01/2019,11/20/2024,Cycle inspection / initial inspection
431,La ternura,Brooklyn,Latin american,05/01/2019,Violations were cited in the following area(s).,06c,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,58.0,C,05/01/2019,11/20/2024,Cycle inspection / re-inspection
432,La ternura,Brooklyn,Latin american,05/01/2019,Violations were cited in the following area(s).,02g,Cold food item held above 41º f (smoked fish and reduced oxygen packaged foods above 38 ºf) except during necessary preparation.,Critical,58.0,C,05/01/2019,11/20/2024,Cycle inspection / re-inspection
433,La baraka restaurant,Queens,French,05/01/2019,Violations were cited in the following area(s).,09c,Food contact surface not properly maintained.,Not critical,9.0,A,05/01/2019,11/20/2024,Cycle inspection / re-inspection
434,La ternura,Brooklyn,Latin american,05/01/2019,Violations were cited in the following area(s).,08a,Facility not vermin proof. harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not critical,58.0,C,05/01/2019,11/20/2024,Cycle inspection / re-inspection
435,La ternura,Brooklyn,Latin american,05/01/2019,Violations were cited in the following area(s).,04n,"Filth flies or food/refuse/sewage-associated (frsa) flies present in facility’s food and/or non-food areas.  filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  food/refuse/sewage-associated flies include fruit flies, drain flies and phorid flies.",Critical,58.0,C,05/01/2019,11/20/2024,Cycle inspection / re-inspection
436,La ternura,Brooklyn,Latin american,05/01/2019,Violations were cited in the following area(s).,08c,Pesticide use not in accordance with label or applicable laws. prohibited chemical used/stored. open bait station used.,Not critical,58.0,C,05/01/2019,11/20/2024,Cycle inspection / re-inspection
437,La ternura,Brooklyn,Latin american,05/01/2019,Violations were cited in the following area(s).,04a,Food protection certificate not held by supervisor of food operations.,Critical,58.0,C,05/01/2019,11/20/2024,Cycle inspection / re-inspection
438,Gramercy terrace (gramercy park hotel),Manhattan,American,05/02/2019,Violations were cited in the following area(s).,09c,Food contact surface not properly maintained.,Not critical,12.0,A,05/02/2019,11/20/2024,Cycle inspection / initial inspection
439,Gramercy terrace (gramercy park hotel),Manhattan,American,05/02/2019,Violations were cited in the following area(s).,10b,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not critical,12.0,A,05/02/2019,11/20/2024,Cycle inspection / initial inspection
440,Ravel rooftop,Queens,American,05/02/2019,Violations were cited in the following area(s).,04n,"Filth flies or food/refuse/sewage-associated (frsa) flies present in facility’s food and/or non-food areas.  filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  food/refuse/sewage-associated flies include fruit flies, drain flies and phorid flies.",Critical,8.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
441,American museum of the moving image,Queens,Coffee/tea,05/02/2019,Violations were cited in the following area(s).,05d,Hand washing facility not provided in or near food preparation area and toilet room. hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. soap and an acceptable hand-drying device not provided.,Critical,25.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
442,American museum of the moving image,Queens,Coffee/tea,05/02/2019,Violations were cited in the following area(s).,06d,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,25.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
443,American museum of the moving image,Queens,Coffee/tea,05/02/2019,Violations were cited in the following area(s).,04a,Food protection certificate not held by supervisor of food operations.,Critical,25.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
444,Gramercy terrace (gramercy park hotel),Manhattan,American,05/02/2019,Violations were cited in the following area(s).,06d,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12.0,A,05/02/2019,11/20/2024,Cycle inspection / initial inspection
445,Gramercy terrace (gramercy park hotel),Manhattan,American,05/02/2019,Violations were cited in the following area(s).,10f,"Non-food contact surface improperly constructed. unacceptable material used. non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not critical,12.0,A,05/02/2019,11/20/2024,Cycle inspection / initial inspection
446,Uncle louie g's italian ices & ice cream,Brooklyn,Frozen desserts,05/03/2019,Violations were cited in the following area(s).,10h,Proper sanitization not provided for utensil ware washing operation.,Not critical,2.0,A,05/03/2019,11/20/2024,Cycle inspection / initial inspection
447,Prospect park wildlife center,Brooklyn,Frozen desserts,05/04/2019,Violations were cited in the following area(s).,10f,"Non-food contact surface improperly constructed. unacceptable material used. non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not critical,2.0,A,05/04/2019,11/20/2024,Pre-permit (operational) / initial inspection
448,Etrog kosher restaurant & catering,Manhattan,Jewish/kosher,05/06/2019,Violations were cited in the following area(s).,10b,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not critical,2.0,Nan,Nan,11/20/2024,Pre-permit (operational) / initial inspection
449,Master wok,Brooklyn,Chinese,05/07/2019,Violations were cited in the following area(s).,06c,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,13.0,A,05/07/2019,11/20/2024,Cycle inspection / re-inspection
450,Master wok,Brooklyn,Chinese,05/07/2019,Violations were cited in the following area(s).,10a,"Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",Not critical,13.0,A,05/07/2019,11/20/2024,Cycle inspection / re-inspection
451,The bush doctor juice bar,Brooklyn,"Juice, smoothies, fruit salads",05/07/2019,Violations were cited in the following area(s).,06d,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,5.0,A,05/07/2019,11/20/2024,Cycle inspection / initial inspection
452,Ed's elbow room,Manhattan,American,05/07/2019,Violations were cited in the following area(s).,10i,"Single service item reused, improperly stored, dispensed; not used when required.",Not critical,2.0,A,05/07/2019,11/20/2024,Cycle inspection / initial inspection
453,Master wok,Brooklyn,Chinese,05/07/2019,Violations were cited in the following area(s).,22g,Sale or use of certain expanded polystyrene items restricted,Not critical,13.0,A,05/07/2019,11/20/2024,Cycle inspection / re-inspection
454,Master wok,Brooklyn,Chinese,05/07/2019,Violations were cited in the following area(s).,10f,"Non-food contact surface improperly constructed. unacceptable material used. non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not critical,13.0,A,05/07/2019,11/20/2024,Cycle inspection / re-inspection
455,Ig night,Queens,Chinese,05/09/2019,Violations were cited in the following area(s).,10d,"Mechanical or natural ventilation system not provided,  improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",Not critical,9.0,A,05/09/2019,11/20/2024,Cycle inspection / initial inspection
456,Ig night,Queens,Chinese,05/09/2019,Violations were cited in the following area(s).,10f,"Non-food contact surface improperly constructed. unacceptable material used. non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not critical,9.0,A,05/09/2019,11/20/2024,Cycle inspection / initial inspection
457,Ig night,Queens,Chinese,05/09/2019,Violations were cited in the following area(s).,06d,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,9.0,A,05/09/2019,11/20/2024,Cycle inspection / initial inspection
458,"The mezzanine, the backyard",Brooklyn,American,05/11/2019,Violations were cited in the following area(s).,10h,Proper sanitization not provided for utensil ware washing operation.,Not critical,13.0,A,05/11/2019,11/20/2024,Cycle inspection / re-inspection
459,Luigi's catering,Queens,Italian,05/11/2019,Violations were cited in the following area(s).,04l,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,18.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
460,Cb charisma ballroom,Queens,Other,05/11/2019,Violations were cited in the following area(s).,08a,Facility not vermin proof. harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not critical,11.0,A,05/11/2019,11/20/2024,Cycle inspection / initial inspection
461,"The mezzanine, the backyard",Brooklyn,American,05/11/2019,Violations were cited in the following area(s).,06c,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,13.0,A,05/11/2019,11/20/2024,Cycle inspection / re-inspection
462,Luigi's catering,Queens,Italian,05/11/2019,Violations were cited in the following area(s).,04h,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with haccp plan.",Critical,18.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
463,Luigi's catering,Queens,Italian,05/11/2019,Violations were cited in the following area(s).,08a,Facility not vermin proof. harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not critical,18.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
464,"The mezzanine, the backyard",Brooklyn,American,05/11/2019,Violations were cited in the following area(s).,06d,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,13.0,A,05/11/2019,11/20/2024,Cycle inspection / re-inspection
465,Cb charisma ballroom,Queens,Other,05/11/2019,Violations were cited in the following area(s).,04l,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,11.0,A,05/11/2019,11/20/2024,Cycle inspection / initial inspection
466,Habana outpost,Brooklyn,American,05/14/2019,Violations were cited in the following area(s).,06d,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,10.0,A,05/14/2019,11/20/2024,Cycle inspection / initial inspection
467,Habana outpost,Brooklyn,American,05/14/2019,Violations were cited in the following area(s).,10b,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not critical,10.0,A,05/14/2019,11/20/2024,Cycle inspection / initial inspection
468,Habana outpost,Brooklyn,American,05/14/2019,Violations were cited in the following area(s).,10f,"Non-food contact surface improperly constructed. unacceptable material used. non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not critical,10.0,A,05/14/2019,11/20/2024,Cycle inspection / initial inspection
469,El roche lebanon,Queens,Middle eastern,05/15/2019,Violations were cited in the following area(s).,08a,Facility not vermin proof. harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not critical,21.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
470,El roche lebanon,Queens,Middle eastern,05/15/2019,Violations were cited in the following area(s).,10f,"Non-food contact surface improperly constructed. unacceptable material used. non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not critical,21.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
471,El roche lebanon,Queens,Middle eastern,05/15/2019,Violations were cited in the following area(s).,02h,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140º f to 70º f or less within 2  hours, and from 70º f to 41º f or less within 4 additional hours.",Critical,21.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
472,Burrito loco,Manhattan,Tex-mex,05/15/2019,Violations were cited in the following area(s).,10b,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not critical,25.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
473,The maspeth pizza house,Queens,Italian,05/15/2019,Violations were cited in the following area(s).,15f6,Workplace sfaa policy not prominently posted in workplace,Not applicable,Nan,Nan,Nan,11/20/2024,Smoke-free air act / initial inspection
474,Burrito loco,Manhattan,Tex-mex,05/15/2019,Violations were cited in the following area(s).,06e,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,25.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
475,Burrito loco,Manhattan,Tex-mex,05/15/2019,Violations were cited in the following area(s).,02g,Cold food item held above 41º f (smoked fish and reduced oxygen packaged foods above 38 ºf) except during necessary preparation.,Critical,25.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
476,Lavazza espresso bar,Queens,American,05/15/2019,Violations were cited in the following area(s).,04a,Food protection certificate not held by supervisor of food operations.,Critical,10.0,A,05/15/2019,11/20/2024,Cycle inspection / initial inspection
477,Burrito loco,Manhattan,Tex-mex,05/15/2019,Violations were cited in the following area(s).,02h,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140º f to 70º f or less within 2  hours, and from 70º f to 41º f or less within 4 additional hours.",Critical,25.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
478,The maspeth pizza house,Queens,Italian,05/15/2019,Violations were cited in the following area(s).,15e2,Flavored tobacco products sold or offered for sale,Not applicable,Nan,Nan,Nan,11/20/2024,Smoke-free air act / initial inspection
479,The maspeth pizza house,Queens,Italian,05/15/2019,Violations were cited in the following area(s).,06c,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12.0,A,05/15/2019,11/20/2024,Cycle inspection / initial inspection
480,El roche lebanon,Queens,Middle eastern,05/15/2019,Violations were cited in the following area(s).,04l,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,21.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
481,The maspeth pizza house,Queens,Italian,05/15/2019,Violations were cited in the following area(s).,02g,Cold food item held above 41º f (smoked fish and reduced oxygen packaged foods above 38 ºf) except during necessary preparation.,Critical,12.0,A,05/15/2019,11/20/2024,Cycle inspection / initial inspection
482,Aa flagship lounge,Queens,Other,05/16/2019,Violations were cited in the following area(s).,08a,Facility not vermin proof. harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not critical,46.0,Nan,Nan,11/20/2024,Pre-permit (operational) / initial inspection
483,Mexijoe's,Queens,Mexican,05/16/2019,Violations were cited in the following area(s).,10f,"Non-food contact surface improperly constructed. unacceptable material used. non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not critical,9.0,A,05/16/2019,11/20/2024,Cycle inspection / initial inspection
484,Sway lounge,Manhattan,American,05/16/2019,Violations were cited in the following area(s).,06e,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,7.0,A,05/16/2019,11/20/2024,Cycle inspection / initial inspection
485,"Prime tavern, delta terminal",Queens,American,05/16/2019,Violations were cited in the following area(s).,02g,Cold food item held above 41º f (smoked fish and reduced oxygen packaged foods above 38 ºf) except during necessary preparation.,Critical,9.0,A,05/16/2019,11/20/2024,Cycle inspection / initial inspection
486,Aa flagship lounge,Queens,Other,05/16/2019,Violations were cited in the following area(s).,04n,"Filth flies or food/refuse/sewage-associated (frsa) flies present in facility’s food and/or non-food areas.  filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  food/refuse/sewage-associated flies include fruit flies, drain flies and phorid flies.",Critical,46.0,Nan,Nan,11/20/2024,Pre-permit (operational) / initial inspection
487,World bean,Queens,Coffee/tea,05/16/2019,Violations were cited in the following area(s).,02i,Food prepared from ingredients at ambient temperature not cooled to 41º f or below within 4 hours.,Critical,11.0,A,05/16/2019,11/20/2024,Cycle inspection / initial inspection
488,Sway lounge,Manhattan,American,05/16/2019,Violations were cited in the following area(s).,10f,"Non-food contact surface improperly constructed. unacceptable material used. non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not critical,7.0,A,05/16/2019,11/20/2024,Cycle inspection / initial inspection
489,American airlines admirals club,Queens,American,05/16/2019,Violations were cited in the following area(s).,06d,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,11.0,A,05/16/2019,11/20/2024,Pre-permit (operational) / initial inspection
490,"Prime tavern, delta terminal",Queens,American,05/16/2019,Violations were cited in the following area(s).,10b,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not critical,9.0,A,05/16/2019,11/20/2024,Cycle inspection / initial inspection
491,Dunkin,Queens,Donuts,05/16/2019,Violations were cited in the following area(s).,06c,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,5.0,A,05/16/2019,11/20/2024,Pre-permit (operational) / re-inspection
492,American airlines admirals club,Queens,American,05/16/2019,Violations were cited in the following area(s).,10b,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not critical,11.0,A,05/16/2019,11/20/2024,Pre-permit (operational) / initial inspection
493,Winter garden theater,Manhattan,American,05/16/2019,Violations were cited in the following area(s).,05d,Hand washing facility not provided in or near food preparation area and toilet room. hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. soap and an acceptable hand-drying device not provided.,Critical,12.0,A,05/16/2019,11/20/2024,Cycle inspection / initial inspection
494,Cibo express gourmet market,Queens,American,05/16/2019,No violations were recorded at the time of this inspection.,Nan,Nan,Not applicable,0.0,A,05/16/2019,11/20/2024,Cycle inspection / initial inspection
495,Delta sky club,Queens,American,05/16/2019,Violations were cited in the following area(s).,04h,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with haccp plan.",Critical,9.0,A,05/16/2019,11/20/2024,Cycle inspection / initial inspection
496,Aa flagship lounge,Queens,Other,05/16/2019,Violations were cited in the following area(s).,06d,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,46.0,Nan,Nan,11/20/2024,Pre-permit (operational) / initial inspection
497,World bean,Queens,Coffee/tea,05/16/2019,Violations were cited in the following area(s).,06d,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,11.0,A,05/16/2019,11/20/2024,Cycle inspection / initial inspection
498,Winter garden theater,Manhattan,American,05/16/2019,Violations were cited in the following area(s).,10f,"Non-food contact surface improperly constructed. unacceptable material used. non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not critical,12.0,A,05/16/2019,11/20/2024,Cycle inspection / initial inspection
499,Shiso,Queens,Japanese,05/16/2019,Violations were cited in the following area(s).,10b,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not critical,2.0,A,05/16/2019,11/20/2024,Cycle inspection / initial inspection
500,Dylan's candy bar,Queens,Other,05/16/2019,Violations were cited in the following area(s).,10f,"Non-food contact surface improperly constructed. unacceptable material used. non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not critical,4.0,A,05/16/2019,11/20/2024,Cycle inspection / initial inspection
501,Mexijoe's,Queens,Mexican,05/16/2019,Violations were cited in the following area(s).,09c,Food contact surface not properly maintained.,Not critical,9.0,A,05/16/2019,11/20/2024,Cycle inspection / initial inspection
502,Aa flagship lounge,Queens,Other,05/16/2019,Violations were cited in the following area(s).,04h,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with haccp plan.",Critical,46.0,Nan,Nan,11/20/2024,Pre-permit (operational) / initial inspection
503,Tagliare pizza delta terminal,Queens,American,05/16/2019,Violations were cited in the following area(s).,10f,"Non-food contact surface improperly constructed. unacceptable material used. non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not critical,2.0,A,05/16/2019,11/20/2024,Cycle inspection / initial inspection
504,Mexijoe's,Queens,Mexican,05/16/2019,Violations were cited in the following area(s).,06d,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,9.0,A,05/16/2019,11/20/2024,Cycle inspection / initial inspection
505,American airlines admirals club,Queens,American,05/16/2019,Violations were cited in the following area(s).,10f,"Non-food contact surface improperly constructed. unacceptable material used. non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not critical,11.0,A,05/16/2019,11/20/2024,Pre-permit (operational) / initial inspection
506,Dylan's candy bar,Queens,Other,05/16/2019,Violations were cited in the following area(s).,10h,Proper sanitization not provided for utensil ware washing operation.,Not critical,4.0,A,05/16/2019,11/20/2024,Cycle inspection / initial inspection
507,Tagliere,Queens,Pizza,05/16/2019,No violations were recorded at the time of this inspection.,Nan,Nan,Not applicable,0.0,A,05/16/2019,11/20/2024,Cycle inspection / initial inspection
508,Delta sky club,Queens,American,05/16/2019,Violations were cited in the following area(s).,09c,Food contact surface not properly maintained.,Not critical,9.0,A,05/16/2019,11/20/2024,Cycle inspection / initial inspection
509,Anbu room,Bronx,American,05/17/2019,Violations were cited in the following area(s).,06d,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,35.0,N,Nan,11/20/2024,Pre-permit (operational) / initial inspection
510,Anbu room,Bronx,American,05/17/2019,Violations were cited in the following area(s).,05d,Hand washing facility not provided in or near food preparation area and toilet room. hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. soap and an acceptable hand-drying device not provided.,Critical,35.0,N,Nan,11/20/2024,Pre-permit (operational) / initial inspection
511,Anbu room,Bronx,American,05/17/2019,Violations were cited in the following area(s).,04j,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",Critical,35.0,N,Nan,11/20/2024,Pre-permit (operational) / initial inspection
512,Wood bine caterers,Brooklyn,American,05/17/2019,Violations were cited in the following area(s).,04m,Live roaches present in facility's food and/or non-food areas.,Critical,13.0,A,05/17/2019,11/20/2024,Cycle inspection / re-inspection
513,Anbu room,Bronx,American,05/17/2019,Violations were cited in the following area(s).,10b,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not critical,35.0,N,Nan,11/20/2024,Pre-permit (operational) / initial inspection
514,Wood bine caterers,Brooklyn,American,05/17/2019,Violations were cited in the following area(s).,08a,Facility not vermin proof. harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not critical,13.0,A,05/17/2019,11/20/2024,Cycle inspection / re-inspection
515,Wood bine caterers,Brooklyn,American,05/17/2019,Violations were cited in the following area(s).,04n,"Filth flies or food/refuse/sewage-associated (frsa) flies present in facility’s food and/or non-food areas.  filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  food/refuse/sewage-associated flies include fruit flies, drain flies and phorid flies.",Critical,13.0,A,05/17/2019,11/20/2024,Cycle inspection / re-inspection
516,Anbu room,Bronx,American,05/17/2019,Violations were cited in the following area(s).,04a,Food protection certificate not held by supervisor of food operations.,Critical,35.0,N,Nan,11/20/2024,Pre-permit (operational) / initial inspection
517,Wood bine caterers,Brooklyn,American,05/17/2019,Violations were cited in the following area(s).,04l,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,13.0,A,05/17/2019,11/20/2024,Cycle inspection / re-inspection
518,Pinky's space,Manhattan,Other,05/18/2019,No violations were recorded at the time of this inspection.,Nan,Nan,Not applicable,0.0,Nan,Nan,11/20/2024,Inter-agency task force / initial inspection
519,Hudson terrace,Manhattan,American,05/18/2019,Violations were cited in the following area(s).,04h,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with haccp plan.",Critical,10.0,A,05/18/2019,11/20/2024,Cycle inspection / initial inspection
520,Hudson terrace,Manhattan,American,05/18/2019,Violations were cited in the following area(s).,10h,Proper sanitization not provided for utensil ware washing operation.,Not critical,10.0,A,05/18/2019,11/20/2024,Cycle inspection / initial inspection
521,Manhattan center,Manhattan,American,05/21/2019,Violations were cited in the following area(s).,10f,"Non-food contact surface improperly constructed. unacceptable material used. non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not critical,23.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
522,Manhattan center,Manhattan,American,05/21/2019,Violations were cited in the following area(s).,04h,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with haccp plan.",Critical,23.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
523,Ut47 manhattan,Manhattan,Coffee/tea,05/21/2019,Violations were cited in the following area(s).,04h,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with haccp plan.",Critical,12.0,A,05/21/2019,11/20/2024,Cycle inspection / re-inspection
524,(public fare) 81st street and central park west (delacorte theatre),Manhattan,American,05/21/2019,Violations were cited in the following area(s).,10f,"Non-food contact surface improperly constructed. unacceptable material used. non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not critical,9.0,A,05/21/2019,11/20/2024,Cycle inspection / initial inspection
525,Auntie anne's pretzels,Brooklyn,American,05/21/2019,Violations were cited in the following area(s).,10f,"Non-food contact surface improperly constructed. unacceptable material used. non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not critical,2.0,A,05/21/2019,11/20/2024,Cycle inspection / initial inspection
526,Manhattan center,Manhattan,American,05/21/2019,Violations were cited in the following area(s).,05d,Hand washing facility not provided in or near food preparation area and toilet room. hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. soap and an acceptable hand-drying device not provided.,Critical,23.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
527,(public fare) 81st street and central park west (delacorte theatre),Manhattan,American,05/21/2019,Violations were cited in the following area(s).,06d,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,9.0,A,05/21/2019,11/20/2024,Cycle inspection / initial inspection
528,Manhattan center,Manhattan,American,05/21/2019,Violations were cited in the following area(s).,08c,Pesticide use not in accordance with label or applicable laws. prohibited chemical used/stored. open bait station used.,Not critical,23.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
529,Ut47 manhattan,Manhattan,Coffee/tea,05/21/2019,Violations were cited in the following area(s).,06a,Personal cleanliness inadequate. outer garment soiled with possible contaminant. effective hair restraint not worn in an area where food is prepared.,Critical,12.0,A,05/21/2019,11/20/2024,Cycle inspection / re-inspection
530,Manhattan center,Manhattan,American,05/21/2019,Violations were cited in the following area(s).,10b,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not critical,23.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
531,The cloak room,Manhattan,American,05/22/2019,Violations were cited in the following area(s).,10h,Proper sanitization not provided for utensil ware washing operation.,Not critical,5.0,A,05/22/2019,11/20/2024,Cycle inspection / initial inspection
532,Jagerhaus gastropub,Queens,German,05/22/2019,Violations were cited in the following area(s).,10b,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not critical,13.0,A,05/22/2019,11/20/2024,Pre-permit (operational) / re-inspection
533,Starbucks,Queens,Coffee/tea,05/22/2019,Violations were cited in the following area(s).,10f,"Non-food contact surface improperly constructed. unacceptable material used. non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not critical,3.0,A,05/22/2019,11/20/2024,Cycle inspection / initial inspection
